tag	title	mean_centroid	std_centroid	mean_rolloff	std_rolloff	mean_flux	std_flux	mean_zerocrossings	std_zerocrossings	low_energy	period0	ratioperiod1	ratioperiod2	ratioperiod3	amp0	amp1	amp2	amp3
.	classique_1.wav	905.521792515	119.901207422	127.803738318	16.0311841275	0.116465615168	0.0521558703514	101.158878505	20.3075187644	0.607476635514	184.983221477	0.996655518395	1.00673400673	0.966377440347	0.262392845033	0.260876708689	0.245901850743	0.230828595535
.	classique_10.wav	2047.92952877	833.362929874	359.205607477	272.73264915	0.070386691843	0.0161600412739	165.037383178	46.2447623169	0.616822429907	194.330199765	0.989534883721	1.02625298329	0.887711864407	0.278194624785	0.246101267824	0.239537300994	0.236166806397
.	classique_11.wav	1547.71268119	497.42237648	195.588785047	105.472231653	0.0825072092901	0.026994221425	125.635514019	37.8171677682	0.588785046729	200.211864407	0.993983152828	1.00241254524	0.996394230769	0.303697968429	0.237275690876	0.236168918618	0.222857422077
.	classique_12.wav	1622.41461082	365.558555116	217.429906542	74.1974017921	0.0982265413856	0.0329044243809	156.168224299	36.3049096809	0.551401869159	150.752051048	0.990966576332	0.98927613941	0.996438112199	0.26117022933	0.255630339954	0.245165263466	0.23803416725
.	classique_13.wav	1709.62573986	388.32451905	263.420560748	72.3981769512	0.0782606056657	0.0188079317506	152.869158879	41.245806156	0.514018691589	82.235206365	1.0	1.0	1.0	1.0	-0.0	-0.0	-0.0
.	classique_14.wav	1334.82379653	119.058182357	165.317757009	21.3066608561	0.0613882979698	0.0198897251912	130.401869159	17.9427228959	0.588785046729	85.7754149378	1.02226935313	1.00586666667	1.13843351548	0.262164450144	0.247458329971	0.246861135854	0.243516084031
.	classique_15.wav	2496.00106542	798.844223529	424.08411215	495.374079768	0.0658648349016	0.03190916743	123.588785047	33.3701845967	0.560747663551	92.8551375632	0.905439755974	1.10319685923	0.952457264957	0.300497089795	0.248113945919	0.239630532496	0.21175843179
.	classique_16.wav	1888.82060029	663.905006098	242.252336449	150.266187083	0.0713999582589	0.0252387898809	142.401869159	44.0973561445	0.495327102804	121.509919177	0.876368319382	1.1278140886	0.999274310595	0.329939268638	0.233838925729	0.220077820993	0.21614398464
.	classique_17.wav	1115.74228685	299.942410626	165.168224299	60.2718895717	0.0836572880256	0.0335084664806	95.9626168224	33.591811762	0.579439252336	83.8615618661	1.00101522843	1.93516699411	0.998039215686	0.472565883146	0.245481306723	0.146726278031	0.135226532101
.	classique_18.wav	1392.34441504	377.574308242	224.747663551	95.2176153358	0.103449787831	0.0396768370973	112.457943925	35.8872274089	0.607476635514	155.573847601	1.01917545542	0.995229007634	0.963235294118	0.267578096441	0.24936282697	0.242978441418	0.24008063517
.	classique_19.wav	1545.55993224	316.668432383	269.495327103	78.617656792	0.0954626175511	0.0306163880538	129.813084112	38.2322296003	0.598130841121	82.03125	1.00348432056	0.990631163708	1.00296735905	0.284058295036	0.253365766912	0.248186931519	0.214389006533
.	classique_2.wav	2396.44339292	1560.93264555	429.140186916	540.299578524	0.103747552203	0.0527850335443	138.112149533	44.9228470696	0.691588785047	117.038216561	1.00355113636	1.00643316655	1.00071530758	0.261892358653	0.250449641908	0.245173258381	0.242484741058
.	classique_20.wav	1618.08132006	178.630143441	240.401869159	30.7716521485	0.0931065859485	0.0330810369144	227.205607477	33.5023331083	0.644859813084	199.487334138	0.87447257384	0.939544103072	0.780959752322	0.290675265338	0.277312868774	0.245609630832	0.186402235055
.	classique_21.wav	1469.35345376	232.672455264	218.046728972	45.2268184391	0.0843712959152	0.0224677853954	184.738317757	44.1209756733	0.626168224299	200.211864407	0.933333333333	1.04486422668	0.916666666667	0.3069700495	0.237048288606	0.236179234304	0.21980242759
.	classique_22.wav	1366.15359902	583.300421781	216.644859813	133.998064733	0.100039973666	0.0447834281567	128.813084112	54.1854087407	0.560747663551	173.895899054	0.994769874477	1.00314795383	0.966531440162	0.26807388852	0.253947049047	0.245744121721	0.232234940712
.	classique_23.wav	1760.21582887	491.966556935	287.38317757	84.4937253502	0.0825179674939	0.0330930653094	191.551401869	78.5880342899	0.588785046729	169.095092025	0.982914572864	1.07219827586	0.982010582011	0.259309029049	0.255753561529	0.244073815929	0.240863593493
.	classique_3.wav	887.588252289	144.903142468	131.551401869	23.1848458583	0.0650547203516	0.0238682385759	111.626168224	27.9928306457	0.542056074766	136.223228995	1.02360876897	0.957223567393	1.0385582565	0.265053732586	0.260886948795	0.260217333789	0.21384198483
.	classique_4.wav	1040.39880894	137.424233495	158.0	23.3426327708	0.0774781454631	0.0297993593216	143.093457944	41.2243763996	0.551401869159	143.804347826	1.38554216867	0.672609400324	0.697175141243	0.266248603535	0.253068031265	0.242698293225	0.237985071974
.	classique_5.wav	1761.09224286	373.689132	301.691588785	98.0184429732	0.0592924263985	0.0109541132555	179.448598131	38.6071112632	0.626168224299	146.349557522	0.993843447669	0.999121265378	1.00176056338	0.275698170098	0.256144830804	0.239687525699	0.228469473399
.	classique_6.wav	1061.21508997	268.680819636	145.728971963	58.3211492543	0.0920015809672	0.038731388705	102.813084112	22.5848890186	0.598130841121	180.540393013	1.05651672434	0.865269461078	1.02349336057	0.284663506663	0.243187148657	0.241583220842	0.230566123839
.	classique_7.wav	1071.74379637	147.945385144	154.485981308	33.0969588026	0.064760218731	0.015674739993	113.028037383	22.7692438663	0.542056074766	108.088235294	1.67947310648	0.785344827586	1.23931623932	0.27873588332	0.252967446475	0.236624709017	0.231671961187
.	classique_8.wav	1386.17345727	264.44130756	194.757009346	43.2084365943	0.0907950003597	0.0247466202324	138.345794393	47.0349050748	0.607476635514	199.72826087	1.00120918984	0.996385542169	0.986920332937	0.269113684898	0.249939506676	0.249137774997	0.231809033429
.	classique_9.wav	2618.98019767	731.905914877	485.448598131	154.28346491	0.0571933824896	0.0141092623564	284.588785047	100.664980897	0.523364485981	139.556962025	1.11898016997	0.743679775281	1.21191489362	0.261854595613	0.248986021837	0.246153753705	0.243005628845
.	jazz_1.wav	1491.35423214	298.438456494	271.962616822	55.4812294997	0.0929004050307	0.0284172897537	174.598130841	77.9841656361	0.635514018692	170.314109166	1.0385026738	0.979057591623	0.662734212353	0.254302919097	0.252664311783	0.248214775447	0.244817993672
.	jazz_10.wav	1295.47857733	318.595131166	140.196261682	66.4252006075	0.10705170707	0.0359524450984	100.364485981	50.3942202077	0.616822429907	115.163649025	0.968960863698	1.04292751583	0.941059602649	0.261338159734	0.24692555924	0.246686077839	0.245050203187
.	jazz_11.wav	1407.41838862	293.036561402	243.317757009	49.383980552	0.104572085269	0.0311697356708	160.308411215	70.4269239105	0.579439252336	92.6470588235	0.980769230769	1.02941176471	0.98495821727	0.269507843023	0.250081335882	0.243919285527	0.236491535568
.	jazz_12.wav	1052.24290327	184.333020683	186.280373832	35.559031975	0.106185875697	0.0279086932151	81.3457943925	21.4850971187	0.570093457944	106.831395349	0.994858611825	1.01368078176	0.989046391753	0.280243263888	0.246292898355	0.241521047705	0.231942790052
.	jazz_13.wav	1587.05971568	716.49978629	275.654205607	206.621515142	0.082844794776	0.0513998161712	104.074766355	77.0109472658	0.588785046729	112.5	0.993914807302	0.997302764666	1.01784488675	0.251013223576	0.250907502812	0.249883175985	0.248196097627
.	jazz_15.wav	1320.58377512	428.862457006	217.859813084	83.4635124933	0.103004016371	0.0361668275303	123.392523364	48.5046981074	0.635514018692	175.557324841	0.992623814542	0.997896950578	0.501582278481	0.257330259544	0.25212180868	0.245992136464	0.244555795312
.	jazz_16.wav	3452.06788861	1503.28771596	744.411214953	294.628261052	0.0839849012309	0.0187484677457	194.981308411	115.30682201	0.485981308411	102.781230578	1.00062189055	0.99320568252	1.00872274143	0.288187558551	0.266828816693	0.226081989398	0.218901635358
.	jazz_17.wav	2335.22567178	1632.17430536	447.570093458	342.767682752	0.0999649043812	0.029264552598	117.626168224	88.7588903921	0.570093457944	88.2	0.986842105263	0.975359342916	1.03451938396	0.319356780265	0.237456078795	0.222672165032	0.220514975907
.	jazz_18.wav	1798.59243197	543.285771291	328.46728972	181.96848437	0.0826969579275	0.037743347532	95.1495327103	25.2593292614	0.514018691589	119.750181028	1.09516256939	0.925844346549	0.986956521739	0.256196464092	0.252267208633	0.247896353685	0.243639973591
.	jazz_19.wav	2014.03566395	1050.25862496	386.037383178	257.858829929	0.112090329916	0.0393603454911	105.542056075	50.4233072451	0.588785046729	142.441860465	1.00259067358	0.994845360825	1.00779220779	0.256263343702	0.250784020485	0.246714537596	0.246238098218
.	jazz_2.wav	1538.67245643	278.186831744	261.130841121	47.5726859731	0.0813154584918	0.0219709074075	206.626168224	64.7939254342	0.514018691589	82.276119403	1.66115702479	1.23217922607	0.762422360248	0.258022494029	0.251772972551	0.245588241807	0.244616291614
.	jazz_20.wav	1628.71854509	386.869156852	270.682242991	65.5035988354	0.0765421556508	0.0305522758044	185.728971963	94.5349235862	0.588785046729	82.194333996	0.985308521058	1.06077922078	0.968309859155	0.263692236556	0.257589244129	0.239497257002	0.239221262313
.	jazz_21.wav	1842.61235051	343.131043731	364.280373832	94.9452172977	0.0996220021981	0.0334644763115	190.906542056	53.9858985933	0.700934579439	93.6968838527	0.993806306306	1.26766595289	0.807958477509	0.254329781465	0.250337661617	0.249532994288	0.24579956263
.	jazz_22.wav	2031.43079164	470.185665126	365.439252336	62.4227638759	0.100243351838	0.0354163507016	251.579439252	120.779712769	0.588785046729	93.5378959276	1.19057239057	0.995975855131	0.995327102804	0.261612130826	0.246979460124	0.24597246326	0.24543594579
.	jazz_23.wav	1196.76499938	228.926999735	199.710280374	46.3817981834	0.11302564981	0.0397898158036	130.392523364	58.2138752464	0.616822429907	87.3613312203	1.00052854123	0.994742376446	1.00901856764	0.259673598883	0.253902123995	0.247633906625	0.238790370497
.	jazz_3.wav	1390.33111423	287.616963647	260.794392523	58.4604248784	0.095824222048	0.0295670279621	171.261682243	88.6724874303	0.560747663551	182.73480663	1.03665521191	0.661363636364	1.46829810901	0.263156042997	0.248413422307	0.24539712447	0.243033410226
.	jazz_4.wav	979.823248976	150.643193343	123.14953271	23.2530989748	0.115486722559	0.0448758756469	80.4579439252	20.0868582946	0.598130841121	171.728971963	1.00732217573	0.993762993763	1.06888888889	0.259230074695	0.255640220616	0.245686841064	0.239442863626
.	jazz_5.wav	3824.11489876	979.16756092	774.186915888	257.233815993	0.0723925754641	0.0256451687027	296.392523364	108.536892992	0.616822429907	170.665634675	1.01465968586	1.07424071991	0.933823529412	0.277499145622	0.252180080914	0.240980613422	0.229340160042
.	jazz_6.wav	3820.44028429	1002.97212377	787.841121495	224.143860243	0.0796931578319	0.0361819111712	247.439252336	144.505808024	0.626168224299	163.737623762	1.05759162304	1.01272534464	1.01071811361	0.255949692252	0.251693631788	0.248040342721	0.244316333239
.	jazz_7.wav	4008.55038761	817.588213454	786.700934579	205.342167825	0.0864528627107	0.031874186174	309.514018692	93.1565223371	0.607476635514	189.0	0.944924406048	1.00871459695	0.713286713287	0.275864956965	0.262014364659	0.231970795199	0.230149883177
.	jazz_8.wav	4720.03848708	1372.16016573	1089.78504673	263.260008926	0.057031624887	0.0175842800359	431.46728972	188.137219646	0.663551401869	181.531284303	0.980624327234	1.03337041157	0.991179713341	0.259227851784	0.253579598207	0.25148038946	0.235712160549
.	jazz_9.wav	1516.20671045	394.532556968	234.822429907	59.9965439946	0.124922873309	0.0438046940695	203.644859813	81.5639480026	0.644859813084	85.9537422037	0.997925311203	0.972264246092	1.00202122284	0.258065393661	0.253708391315	0.245767127473	0.24245908755
.	jazz_14.wav	2884.79989462	991.453357858	521.728971963	178.101229752	0.0816295380008	0.0245732721922	274.747663551	133.203455756	0.635514018692	106.282133676	0.984810126582	1.00190234623	1.01676337847	0.252380393151	0.252371521387	0.251051666508	0.244196418954
